check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:51.951628+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:51.951650+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:33:52.019709+05:30
http,fail,Probe 1: HTTP 403 at https://vncoe.edu.lk/,https://vncoe.edu.lk/,2026-09-08T23:33:55.098063+05:30
http,fail,Probe 2: HTTP 403 at http://vncoe.edu.lk/,http://vncoe.edu.lk/,2026-09-08T23:33:55.098084+05:30
http,fail,Probe 3: HTTP 403 at https://vncoe.edu.lk/,https://vncoe.edu.lk/,2026-09-08T23:33:55.098088+05:30
http,fail,Probe 4: HTTP 403 at http://vncoe.edu.lk/,http://vncoe.edu.lk/,2026-09-08T23:33:55.098091+05:30
page_text,fail,Only 130 visible characters across 4 pages; below substance threshold 200,https://vncoe.edu.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-08T23:33:55.114350+05:30
