level,description,status,reason,executed
0,"A site is classified as `Level 0` when it is unavailable or unusable, or when there is not enough evidence to establish that it meets `Level 1`.",pass,Baseline website grade,True
1,"To pass `Level 1`, the website must be available, usable, and clearly associated with the government institution. It must load reliably with valid DNS, HTTP, and TLS behavior.",pass,Public DNS resolved; No parked-domain marker found; No defacement marker found; No unrelated-content marker found; No generic-hosting marker found; HTTP probes did not all fail; No unrelated redirect found; No browser-blocking TLS error found; TLS certificate valid; TLS certificate valid,True
2,"To pass `Level 2`, citizens must be able to identify and contact the correct office for the service they need.",inconclusive,No passing postal address evidence found,True
3,"To pass `Level 3`, citizens must find complete and current instructions, requirements, fees, times, and usable forms.",inconclusive,Not run because Level 2 did not pass,False
4,"To pass `Level 4`, citizens must be able to complete, pay for, track, and receive the outcome of a service online.",inconclusive,Not run because Level 3 did not pass,False
5,"To pass `Level 5`, services must be connected across agencies, proactive for eligible citizens, explainable, and accountable.",inconclusive,Not run because Level 4 did not pass,False
