check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:28:29.414370+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:28:29.414388+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:28:40.543871+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),https://www.ruh.ac.lk/,2026-09-08T23:31:43.706287+05:30
http,error,Probe 2: timed out,http://www.ruh.ac.lk/,2026-09-08T23:31:43.706306+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),https://www.ruh.ac.lk/,2026-09-08T23:31:43.706310+05:30
http,error,Probe 4: timed out,http://www.ruh.ac.lk/,2026-09-08T23:31:43.706313+05:30
