check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:27:38.920373+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:27:38.920399+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:27:39.122365+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://data.gov.lk/,2026-09-08T23:27:44.164551+05:30
tls_browser_error,fail,Probe 2: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),http://data.gov.lk/,2026-09-08T23:27:44.164567+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://data.gov.lk/,2026-09-08T23:27:44.164570+05:30
tls_browser_error,fail,Probe 4: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),http://data.gov.lk/,2026-09-08T23:27:44.164573+05:30
