check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:13.009584+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:13.009605+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:13.039966+05:30
http,pass,Probe 1: HTTP 200 at https://www.rdb.gov.lk/,https://www.rdb.gov.lk/,2026-09-09T00:00:18.115461+05:30
http,pass,Probe 2: HTTP 200 at https://www.rdb.gov.lk/,http://www.rdb.gov.lk/,2026-09-09T00:00:18.115480+05:30
http,pass,Probe 3: HTTP 200 at https://www.rdb.gov.lk/,https://www.rdb.gov.lk/,2026-09-09T00:00:18.115483+05:30
http,pass,Probe 4: HTTP 200 at https://www.rdb.gov.lk/,http://www.rdb.gov.lk/,2026-09-09T00:00:18.115486+05:30
page_text,fail,Only 17 visible characters across 4 pages; below substance threshold 200,https://www.rdb.gov.lk/,
