check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:38.709373+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:38.709392+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:38.934964+05:30
http,pass,Probe 1: HTTP 200 at https://www.dcbc.gov.lk/,https://www.dcbc.gov.lk/,2026-09-08T23:54:42.076494+05:30
http,pass,Probe 2: HTTP 200 at https://dcbc.gov.lk/,http://www.dcbc.gov.lk/,2026-09-08T23:54:42.076513+05:30
http,pass,Probe 3: HTTP 200 at https://www.dcbc.gov.lk/,https://www.dcbc.gov.lk/,2026-09-08T23:54:42.076517+05:30
http,pass,Probe 4: HTTP 200 at https://dcbc.gov.lk/,http://www.dcbc.gov.lk/,2026-09-08T23:54:42.076520+05:30
