check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:58:27.972088+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:58:27.972106+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:58:28.770676+05:30
http,pass,Probe 1: HTTP 200 at https://www.psptf.lk/,https://www.psptf.lk/,2026-09-08T23:58:33.737716+05:30
http,pass,Probe 2: HTTP 200 at http://www.psptf.lk/,http://www.psptf.lk/,2026-09-08T23:58:33.737734+05:30
http,pass,Probe 3: HTTP 200 at https://www.psptf.lk/,https://www.psptf.lk/,2026-09-08T23:58:33.737737+05:30
http,pass,Probe 4: HTTP 200 at http://www.psptf.lk/,http://www.psptf.lk/,2026-09-08T23:58:33.737740+05:30
page_text,fail,Only 140 visible characters across 4 pages; below substance threshold 200,https://www.psptf.lk/,
