check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:55:43.673104+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:55:43.673122+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:55:44.251759+05:30
http,fail,Probe 1: HTTP 503 at https://olc.gov.lk/,https://olc.gov.lk/,2026-09-08T23:55:49.858823+05:30
http,fail,Probe 2: HTTP 503 at https://olc.gov.lk/,http://olc.gov.lk/,2026-09-08T23:55:49.858841+05:30
http,fail,Probe 3: HTTP 503 at https://olc.gov.lk/,https://olc.gov.lk/,2026-09-08T23:55:49.858845+05:30
http,fail,Probe 4: HTTP 503 at https://olc.gov.lk/,http://olc.gov.lk/,2026-09-08T23:55:49.858848+05:30
page_text,pass,Substantive page content: 381 visible characters across 4 pages,https://olc.gov.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [503, 503, 503, 503]",,2026-09-08T23:55:49.865074+05:30
