check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:13.508713+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:13.508733+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:13.782516+05:30
http,fail,Probe 1: HTTP 403 at https://ovdc.lk/,https://ovdc.lk/,2026-09-08T23:52:17.067808+05:30
http,fail,Probe 2: HTTP 403 at http://ovdc.lk/,http://ovdc.lk/,2026-09-08T23:52:17.067842+05:30
http,fail,Probe 3: HTTP 403 at https://ovdc.lk/,https://ovdc.lk/,2026-09-08T23:52:17.067846+05:30
http,fail,Probe 4: HTTP 403 at http://ovdc.lk/,http://ovdc.lk/,2026-09-08T23:52:17.067849+05:30
page_text,fail,Only 130 visible characters across 4 pages; below substance threshold 200,https://ovdc.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-08T23:52:17.081265+05:30
